fraction,proportion,type,acc_decay,patch_success_rate
0.01,0.001,block,0.0013666666666667011,0.0031411677753141166
0.01,0.005,block,0.0014000000000000308,0.002734663710273467
0.01,0.01,block,0.001100000000000027,0.0031781226903178123
0.05,0.001,block,0.004033333333333333,0.007169253510716925
0.05,0.005,block,0.004499999999999986,0.007390983000739099
0.05,0.01,block,0.004033333333333333,0.26282335550628233
0.1,0.001,block,0.008166666666666692,0.017923133776792315
0.1,0.005,block,0.008933333333333349,0.015853658536585366
0.1,0.01,block,0.006766666666666699,0.7487435328898743
0.15,0.001,block,0.013066666666666707,0.18673318551367332
0.15,0.005,block,0.014566666666666691,0.03155949741315595
0.15,0.01,block,0.008633333333333345,0.8280857354028086
0.2,0.001,block,0.022866666666666664,0.16252771618625275
0.2,0.005,block,0.028366666666666724,0.1443089430894309
0.2,0.01,block,0.013700000000000045,0.898041389504804
