fraction,proportion,type,acc_decay,patch_success_rate
0.01,0.001,block,0.0009666666666666712,0.003067257945306726
0.01,0.001,sparse,0.0008666666666667192,0.16796008869179602
0.01,0.005,block,0.001300000000000005,0.6048041389504805
0.01,0.005,sparse,0.0007333333333334006,0.7515521064301552
0.01,0.01,block,0.0021333333333333946,0.13373983739837397
0.01,0.01,sparse,0.0006333333333333746,0.7830376940133038
0.05,0.001,block,0.0023666666666667022,0.28222468588322247
0.05,0.001,sparse,0.0026000000000000467,0.3336659275683666
0.05,0.005,block,0.0018000000000000238,0.8002956393200296
0.05,0.005,sparse,0.0007666666666666933,0.9910569105691057
0.05,0.01,block,0.0017333333333333274,0.9908721359940872
0.05,0.01,sparse,0.0012666666666667121,0.9895048041389504
0.1,0.001,block,0.0054666666666666934,0.3073170731707317
0.1,0.001,sparse,0.0044333333333334,0.37686622320768665
0.1,0.005,block,0.0027333333333334022,0.8953067257945305
0.1,0.005,sparse,0.001966666666666709,0.997930524759793
0.1,0.01,block,0.0020333333333333683,0.9997782705099779
0.1,0.01,sparse,0.0018333333333333905,0.9950849963045085
0.15,0.001,block,0.013433333333333372,0.33717664449371765
0.15,0.001,sparse,0.010733333333333372,0.4600886917960089
0.15,0.005,block,0.0044333333333334,0.9738728750923874
0.15,0.005,sparse,0.0020666666666667353,0.999260901699926
0.15,0.01,block,0.0022666666666667132,0.9999630450849963
0.15,0.01,sparse,0.002400000000000032,0.9956393200295639
0.2,0.001,block,0.017400000000000044,0.3973022912047302
0.2,0.001,sparse,0.015933333333333393,0.5206947524020694
0.2,0.005,block,0.0037000000000000366,0.9872135994087214
0.2,0.005,sparse,0.0022000000000000166,0.9989283074648928
0.2,0.01,block,0.0018000000000000609,0.9999630450849963
0.2,0.01,sparse,0.0025333333333333874,0.9971544715447154
